time y_true y_pred u u_adv diff_y diff_u
0 1.1009453382851284 1.3264501 -0.06545997568718002 -0.02545998 -0.2255047711966831 0.03999999509504841
1 0.8544606566802432 1.3264775 -0.058006294492295205 -0.018006299 -0.472016870938165 0.03999999580126089
2 0.6548921320173299 1.326482 -0.0649337896885831 -0.0049337987 -0.6715899255540813 0.0599999910029132
3 0.5129278412950088 1.3264847 -0.06829322994211674 -0.008293236 -0.8135568388807725 0.05999999426761628
4 0.41553563679911903 1.3264744 -0.03727992640907848 0.0027200729 -0.9109387913777609 0.03999999927456462
5 0.33426692102475825 0.34025028 -0.05669846136787337 0.0033015385 -0.005983362454932306 0.05999999989488524
6 0.2845085442366525 0.3400151 -0.21314319274001797 -0.11314316 -0.05550656911707674 0.10000003180080136
7 0.3243474953888582 0.3397879 -0.19627838046058038 -0.09627835 -0.01544040505898725 0.10000003338559488
8 0.35811018350168133 0.33923873 -0.22580830841921745 -0.2858083 0.018871450448473936 -0.059999986592302934
9 0.39409259623457127 0.33866164 -0.20483644197138012 -0.26483646 0.0554309553520792 -0.060000018380563847
10 0.4116384775973117 0.33808982 -0.2311182162416485 -0.2511182 0.07354865387447235 -0.01999999669666022
11 0.433829658097437 0.3375599 -0.1887549892759773 -0.22875501 0.09626974946897326 -0.040000022878601854
12 0.4319616177439196 0.33701572 -0.17011357404536234 -0.23011361 0.09494589952225518 -0.060000036579904686
13 0.418538735252815 0.33692244 0.7595641967161949 0.8595641 0.08161629830022404 0.09999992882167741
14 -0.07695470887118674 0.3368225 0.7955330674028143 0.7355331 -0.4137772186368117 -0.059999949154828425
15 -0.5063072217092635 -0.50052834 0.7895695756610593 0.7295696 -0.005778886137974393 -0.05999996172749611
16 -0.776554984829508 -0.5019207 0.7745867305750969 0.87458664 -0.27463428475626583 0.0999999112133858
17 -0.9371873912063234 -0.50274354 0.7589381957274925 0.8589381 -0.434443849011957 0.09999990222630384
18 -1.0321770274555466 -0.5033164 0.780587805959544 0.8805877 -0.5288606250202439 0.09999989106956975
19 -1.0945322014816652 -0.5037317 0.7556241129921999 0.855624 -0.5908004738815675 0.09999990710744
20 -1.1309774725481538 -0.5045476 -0.36504308959607057 -0.2650432 -0.6264298765703706 0.09999989053372316
21 -0.7547965181739936 -0.5053175 -0.3905602686817335 -0.29056036 -0.2494790089996467 0.09999990395852792
22 -0.31208550247219735 -0.5064461 -0.3966100536851253 -0.49660996 0.1943606206509716 -0.09999990234095196
23 0.032350431636454915 -0.50750405 -0.4194154890712376 -0.51941544 0.5398544775997423 -0.09999994910396381
24 0.2825424350870767 -0.5083802 -0.39859123902958943 -0.49859115 0.7909226097239175 -0.09999991578417705
25 0.44340181179666305 0.44375357 -0.37955932103139883 -0.4795592 -0.000351758521558998 -0.0999998918916511
26 0.5407446780952622 0.44422337 -0.41684243531361004 -0.51684237 0.09652130396692049 -0.09999992995128254
27 0.620552930479656 0.44457167 -0.3282234727809054 -0.42822337 0.17598125660956931 -0.09999989872483189
28 0.638876531539426 0.44481522 -0.34490462864460536 -0.44490454 0.1940613130907871 -0.09999990736422948
29 0.6511428355084822 0.4450091 -0.2957660093461219 -0.3957659 0.20613372315038891 -0.09999989126575554
30 0.6391219896725381 0.44515705 -0.32731310544676295 -0.427313 0.1939649385861123 -0.09999989451699742
31 0.6404167912352164 0.4452803 -0.3131394727644158 -0.41313937 0.19513647774339515 -0.09999990029962535
32 0.6375685542060991 0.44538113 -0.30598696077744447 -0.40598688 0.19218741945764029 -0.09999991451819457
33 0.6314646438749687 0.44546053 -0.3110234205594468 -0.41102332 0.18600411573966902 -0.09999989820810079
34 0.628788806779075 0.44546184 -0.6814569801217829 -0.7814569 0.18332696734159026 -0.09999990760023247
35 0.7847039453965429 0.7991647 -0.6910411922597124 -0.7510411 -0.014460767032503763 -0.05999992207057936
36 0.9186628908079518 0.79961824 -0.6754375838531455 -0.7754375 0.11904464663680925 -0.099999890397648
37 1.0019571279676596 0.7998836 -0.7022324405099437 -0.8022323 0.20207352391797695 -0.09999988456711317
38 1.0649861761232147 0.8000763 -0.6767251346870394 -0.77672505 0.2649098702569732 -0.09999991910019201
39 1.0993827744485356 0.80023366 -0.6618157649005927 -0.76181567 0.2991491123200871 -0.0999999022518121
40 1.1156758463799274 0.8003426 -0.7073631451810611 -0.80736303 0.31533322696082955 -0.0999998881136166
41 1.1407946495497874 0.79978806 2.055782346459993 1.9957824 0.3410065917456797 -0.059999971124299556
42 0.28116617024735846 0.7996822 2.061037064560304 2.161037 -0.5185160297076281 0.09999990367089717
43 -0.5588604153432721 0.79955506 2.05692911480569 2.156929 -1.3584154785909528 0.09999990130759118
44 -1.0331297443518948 0.7994232 2.039731799541461 2.1397316 -1.8325529621253323 0.09999984604264522
45 -1.2562502172353862 -1.2562828 2.038432203920972 2.138432 3.258916109816212e-05 0.09999982198845192
46 -1.352812947699824 -1.2562962 2.110264125459696 2.0102642 -0.09651678986291001 -0.09999996721079452
47 -1.3930917308471207 -1.2563064 2.055211669202479 1.9552119 -0.13678532101130525 -0.09999979137960313
48 -1.4057809946189601 -1.2562513 -1.6416110828573276 -1.5416112 -0.14952965947491714 0.0999998882467319
49 -0.7957284259291881 -1.2563083 -1.6914664669817596 -1.7914664 0.4605798912552601 -0.09999988834203188
50 0.367679992272939 -1.2563713 -1.6440236255966054 -1.7440236 1.62405125196227 -0.09999993588105571
51 1.1099175872109557 -1.256423 -1.6419752397933847 -1.7419752 2.3663405837319518 -0.09999994846192539
52 1.4460516126824035 -1.256455 -1.627795632358118 -1.7277955 2.702506557292999 -0.09999984932370576
53 1.5673644947582672 -1.2564819 -1.6571103362529394 -1.7571102 2.8238463806683014 -0.099999901822317
54 1.599026003049734 -1.2565122 -1.6977095052726652 -1.7977095 2.855538168119314 -0.09999995975419029
55 1.5925558425826905 1.5894976 -0.7908813658730547 -0.6908815 0.0030582763595459195 0.09999987516565723
56 1.5954512715570726 1.5894387 -0.7854412356082812 -0.6854413 0.006012594722966114 0.09999992043417838
57 1.5519959414935083 1.5894258 -0.8221865478212652 -0.92218643 -0.03742986073732668 -0.0999998864476862
58 1.4993819083932853 1.5894036 -0.7647048389869009 -0.8647047 -0.09002172090969318 -0.09999988913962499
59 1.442339521464015 1.58937 -0.8006456654217 -0.90064555 -0.1470304908193103 -0.09999988864400433
60 1.4020521980319232 1.5893507 -0.7746231642478483 -0.87462306 -0.1872985023464948 -0.09999989597859216
61 1.3672614177244606 1.5893474 -0.8094243552538417 -0.90942425 -0.2220859447938499 -0.09999989010367172
62 1.349680427634677 1.5893657 -0.9960747764843977 -1.0960747 -0.23968529311422437 -0.0999999238711321
63 1.3851848361728365 1.5893941 -1.0367120877091507 -1.136712 -0.20420925638697796 -0.09999986736134492
64 1.4250667590222568 1.5894241 -0.9705135224215143 -1.0705135 -0.16435737427852448 -0.09999996444066828
65 1.4388374104439998 1.4519997 -1.000448294147981 -1.1004483 -0.013162253862640805 -0.09999995662258776
66 1.4514145219217167 1.4522665 -1.023423064567358 -1.123423 -0.0008519327749385575 -0.09999991574117462
67 1.4650541070577576 1.4524179 -1.0155099225474613 -0.91551006 0.01263625656337286 0.09999986414444617
68 1.4734537271593209 1.4525137 -0.9912713250752367 -0.8912714 0.020940032396137287 0.09999991270264763
69 1.474440656290044 1.452395 0.8617528531092757 0.9617528 0.022045693979253045 0.09999991922196205
70 0.9082234501703871 1.4522672 0.8523229752841223 0.7523231 -0.5440437197820055 -0.09999988425400141
